Feature,Importance
minsCH3,0.05123407876191138
MDEN-12,0.04049823278719234
minHCsats,0.032664735387737086
maxHCsats,0.029982568553401454
maxHBint7,0.027148339348320744
minHBint8,0.022441214137031054
SaaaC,0.021904381275483973
minHBint7,0.02149476390008552
SpMax1_Bhm,0.021080029337215853
maxdssC,0.021013565319707855
SHBint7,0.020293829006974642
ndsN,0.01982100586847107
maxsssCH,0.019106658111165853
BCUTw-1l,0.01906853877606712
mindsN,0.018745831925127222
SdssC,0.01854954134876627
minHdsCH,0.01673787952793809
nsssN,0.015833121961931602
minaaaC,0.014058828362884645
SHBint3,0.012943882559994076
nHBint9,0.012941689348693943
minssNH,0.012339891521051671
minsssN,0.012328557822164061
mindsCH,0.010980066309129977
naaaC,0.010595924699881739
SHBint8,0.010223538982658787
